year,state,industry,industry_startups,industry_share,industry_cagr_3y,startups,nsva,startup_growth,startup_cagr_3y,nsva_growth,startup_nsva_ratio,industry_hhi,economic_size_percentile,industry_activity_percentile,underpenetration_gap,underpenetration_score
2022,Andaman And Nicobar Islands,AR VR (Augmented + Virtual Reality),1.0,0.1111111111111111,,9.0,9690.0,-30.76923076923077,4.0041911525952045,14.241924074510726,0.0009287925696594427,0.09795918367346938,0.26838739150296936,9.667656464138878,-9.399269072635908,41.71803941384538
2023,Andaman And Nicobar Islands,AR VR (Augmented + Virtual Reality),2.0,0.15384615384615385,,13.0,10156.0,44.44444444444444,37.50688670741411,4.8090815273477805,0.0012800315084679006,0.09795918367346938,0.3597533120146186,24.41183188670626,-24.05207857469164,33.07394306889001
2019,Andaman And Nicobar Islands,Agriculture,1.0,0.125,,8.0,7927.0,300.0,,7.179556517036234,0.0010092090324208402,0.09795918367346938,0.1027866605756053,9.667656464138878,-9.564869803563273,41.620346976587506
2021,Andaman And Nicobar Islands,Agriculture,1.0,0.07692307692307693,,13.0,8482.0,160.0,86.62555784086241,12.64276228419654,0.0015326573921244989,0.09795918367346938,0.17702147099132023,9.667656464138878,-9.490634993147557,41.66414013811689
2022,Andaman And Nicobar Islands,Agriculture,1.0,0.1111111111111111,,9.0,9690.0,-30.76923076923077,4.0041911525952045,14.241924074510726,0.0009287925696594427,0.09795918367346938,0.26838739150296936,9.667656464138878,-9.399269072635908,41.71803941384538
2023,Andaman And Nicobar Islands,Agriculture,1.0,0.07692307692307693,0.0,13.0,10156.0,44.44444444444444,37.50688670741411,4.8090815273477805,0.0012800315084679006,0.09795918367346938,0.3597533120146186,9.667656464138878,-9.30790315212426,41.771938689573865
2024,Andaman And Nicobar Islands,Agriculture,3.0,0.15,44.22495703074083,20.0,10735.0,53.846153846153854,15.441567326431937,5.70106341079164,0.0018630647414997672,0.09795918367346938,0.45682960255824573,33.18867062585655,-32.73184102329831,27.95351187468419
2023,Andaman And Nicobar Islands,Automotive,1.0,0.07692307692307693,,13.0,10156.0,44.44444444444444,37.50688670741411,4.8090815273477805,0.0012800315084679006,0.09795918367346938,0.3597533120146186,9.667656464138878,-9.30790315212426,41.771938689573865
2024,Andaman And Nicobar Islands,Automotive,1.0,0.05,,20.0,10735.0,53.846153846153854,15.441567326431937,5.70106341079164,0.0018630647414997672,0.09795918367346938,0.45682960255824573,9.667656464138878,-9.210826861580632,41.829206670035376
2020,Andaman And Nicobar Islands,Construction,1.0,0.2,,5.0,7530.0,-37.5,,-5.008199823388415,0.0006640106241699867,0.09795918367346938,0.05139333028780265,9.667656464138878,-9.616263133851074,41.59002863399023
2021,Andaman And Nicobar Islands,Construction,1.0,0.07692307692307693,,13.0,8482.0,160.0,86.62555784086241,12.64276228419654,0.0015326573921244989,0.09795918367346938,0.17702147099132023,9.667656464138878,-9.490634993147557,41.66414013811689
2022,Andaman And Nicobar Islands,Construction,1.0,0.1111111111111111,,9.0,9690.0,-30.76923076923077,4.0041911525952045,14.241924074510726,0.0009287925696594427,0.09795918367346938,0.26838739150296936,9.667656464138878,-9.399269072635908,41.71803941384538
2023,Andaman And Nicobar Islands,Construction,3.0,0.23076923076923078,44.22495703074083,13.0,10156.0,44.44444444444444,37.50688670741411,4.8090815273477805,0.0012800315084679006,0.09795918367346938,0.3597533120146186,33.18867062585655,-32.828917313841934,27.89624389422268
2024,Andaman And Nicobar Islands,Construction,2.0,0.1,25.99210498948732,20.0,10735.0,53.846153846153854,15.441567326431937,5.70106341079164,0.0018630647414997672,0.09795918367346938,0.45682960255824573,24.41183188670626,-23.955002284148016,33.13121104935152
2021,Andaman And Nicobar Islands,Education,1.0,0.07692307692307693,,13.0,8482.0,160.0,86.62555784086241,12.64276228419654,0.0015326573921244989,0.09795918367346938,0.17702147099132023,9.667656464138878,-9.490634993147557,41.66414013811689
2024,Andaman And Nicobar Islands,Food & Beverages,3.0,0.15,,20.0,10735.0,53.846153846153854,15.441567326431937,5.70106341079164,0.0018630647414997672,0.09795918367346938,0.45682960255824573,33.18867062585655,-32.73184102329831,27.95351187468419
2020,Andaman And Nicobar Islands,Green Technology,1.0,0.2,,5.0,7530.0,-37.5,,-5.008199823388415,0.0006640106241699867,0.09795918367346938,0.05139333028780265,9.667656464138878,-9.616263133851074,41.59002863399023
2023,Andaman And Nicobar Islands,Healthcare & Lifesciences,1.0,0.07692307692307693,,13.0,10156.0,44.44444444444444,37.50688670741411,4.8090815273477805,0.0012800315084679006,0.09795918367346938,0.3597533120146186,9.667656464138878,-9.30790315212426,41.771938689573865
2023,Andaman And Nicobar Islands,Human Resources,1.0,0.07692307692307693,,13.0,10156.0,44.44444444444444,37.50688670741411,4.8090815273477805,0.0012800315084679006,0.09795918367346938,0.3597533120146186,9.667656464138878,-9.30790315212426,41.771938689573865
2019,Andaman And Nicobar Islands,IT Services,2.0,0.25,,8.0,7927.0,300.0,,7.179556517036234,0.0010092090324208402,0.09795918367346938,0.1027866605756053,24.41183188670626,-24.309045226130653,32.922351355903665
2020,Andaman And Nicobar Islands,IT Services,2.0,0.4,,5.0,7530.0,-37.5,,-5.008199823388415,0.0006640106241699867,0.09795918367346938,0.05139333028780265,24.41183188670626,-24.36043855641846,32.89203301330638
2021,Andaman And Nicobar Islands,IT Services,2.0,0.15384615384615385,,13.0,8482.0,160.0,86.62555784086241,12.64276228419654,0.0015326573921244989,0.09795918367346938,0.17702147099132023,24.41183188670626,-24.23481041571494,32.96614451743305
2023,Andaman And Nicobar Islands,IT Services,1.0,0.07692307692307693,-20.62994740159002,13.0,10156.0,44.44444444444444,37.50688670741411,4.8090815273477805,0.0012800315084679006,0.09795918367346938,0.3597533120146186,9.667656464138878,-9.30790315212426,41.771938689573865
2022,Andaman And Nicobar Islands,Internet of Things,1.0,0.1111111111111111,,9.0,9690.0,-30.76923076923077,4.0041911525952045,14.241924074510726,0.0009287925696594427,0.09795918367346938,0.26838739150296936,9.667656464138878,-9.399269072635908,41.71803941384538
2021,Andaman And Nicobar Islands,Logistics,1.0,0.07692307692307693,,13.0,8482.0,160.0,86.62555784086241,12.64276228419654,0.0015326573921244989,0.09795918367346938,0.17702147099132023,9.667656464138878,-9.490634993147557,41.66414013811689
2020,Andaman And Nicobar Islands,Marketing,1.0,0.2,,5.0,7530.0,-37.5,,-5.008199823388415,0.0006640106241699867,0.09795918367346938,0.05139333028780265,9.667656464138878,-9.616263133851074,41.59002863399023
2021,Andaman And Nicobar Islands,Marketing,1.0,0.07692307692307693,,13.0,8482.0,160.0,86.62555784086241,12.64276228419654,0.0015326573921244989,0.09795918367346938,0.17702147099132023,9.667656464138878,-9.490634993147557,41.66414013811689
2022,Andaman And Nicobar Islands,Marketing,1.0,0.1111111111111111,,9.0,9690.0,-30.76923076923077,4.0041911525952045,14.241924074510726,0.0009287925696594427,0.09795918367346938,0.26838739150296936,9.667656464138878,-9.399269072635908,41.71803941384538
2024,Andaman And Nicobar Islands,Marketing,1.0,0.05,0.0,20.0,10735.0,53.846153846153854,15.441567326431937,5.70106341079164,0.0018630647414997672,0.09795918367346938,0.45682960255824573,9.667656464138878,-9.210826861580632,41.829206670035376
2021,Andaman And Nicobar Islands,Non- Renewable Energy,5.0,0.38461538461538464,,13.0,8482.0,160.0,86.62555784086241,12.64276228419654,0.0015326573921244989,0.09795918367346938,0.17702147099132023,44.894929191411606,-44.717907720420286,20.8826006400539
2019,Andaman And Nicobar Islands,Other Specialty Retailers,1.0,0.125,,8.0,7927.0,300.0,,7.179556517036234,0.0010092090324208402,0.09795918367346938,0.1027866605756053,9.667656464138878,-9.564869803563273,41.620346976587506
2022,Andaman And Nicobar Islands,Other Specialty Retailers,1.0,0.1111111111111111,,9.0,9690.0,-30.76923076923077,4.0041911525952045,14.241924074510726,0.0009287925696594427,0.09795918367346938,0.26838739150296936,9.667656464138878,-9.399269072635908,41.71803941384538
2024,Andaman And Nicobar Islands,Other Specialty Retailers,1.0,0.05,,20.0,10735.0,53.846153846153854,15.441567326431937,5.70106341079164,0.0018630647414997672,0.09795918367346938,0.45682960255824573,9.667656464138878,-9.210826861580632,41.829206670035376
2019,Andaman And Nicobar Islands,Professional & Commercial Services,1.0,0.125,,8.0,7927.0,300.0,,7.179556517036234,0.0010092090324208402,0.09795918367346938,0.1027866605756053,9.667656464138878,-9.564869803563273,41.620346976587506
2024,Andaman And Nicobar Islands,Professional & Commercial Services,2.0,0.1,,20.0,10735.0,53.846153846153854,15.441567326431937,5.70106341079164,0.0018630647414997672,0.09795918367346938,0.45682960255824573,24.41183188670626,-23.955002284148016,33.13121104935152
2024,Andaman And Nicobar Islands,Retail,1.0,0.05,,20.0,10735.0,53.846153846153854,15.441567326431937,5.70106341079164,0.0018630647414997672,0.09795918367346938,0.45682960255824573,9.667656464138878,-9.210826861580632,41.829206670035376
2018,Andaman And Nicobar Islands,Textiles & Apparel,1.0,0.5,,2.0,7396.0,,,,0.00027041644131963225,0.09795918367346938,0.017131110095934217,9.667656464138878,-9.650525354042943,41.56981640559205
2021,Andaman And Nicobar Islands,Transportation & Storage,1.0,0.07692307692307693,,13.0,8482.0,160.0,86.62555784086241,12.64276228419654,0.0015326573921244989,0.09795918367346938,0.17702147099132023,9.667656464138878,-9.490634993147557,41.66414013811689
2022,Andaman And Nicobar Islands,Transportation & Storage,1.0,0.1111111111111111,,9.0,9690.0,-30.76923076923077,4.0041911525952045,14.241924074510726,0.0009287925696594427,0.09795918367346938,0.26838739150296936,9.667656464138878,-9.399269072635908,41.71803941384538
2018,Andaman And Nicobar Islands,Travel & Tourism,1.0,0.5,,2.0,7396.0,,,,0.00027041644131963225,0.09795918367346938,0.017131110095934217,9.667656464138878,-9.650525354042943,41.56981640559205
2019,Andaman And Nicobar Islands,Travel & Tourism,3.0,0.375,,8.0,7927.0,300.0,,7.179556517036234,0.0010092090324208402,0.09795918367346938,0.1027866605756053,33.18867062585655,-33.08588396528095,27.74465218123632
2022,Andaman And Nicobar Islands,Travel & Tourism,2.0,0.2222222222222222,,9.0,9690.0,-30.76923076923077,4.0041911525952045,14.241924074510726,0.0009287925696594427,0.09795918367346938,0.26838739150296936,24.41183188670626,-24.14344449520329,33.02004379316153
2023,Andaman And Nicobar Islands,Travel & Tourism,3.0,0.23076923076923078,44.22495703074083,13.0,10156.0,44.44444444444444,37.50688670741411,4.8090815273477805,0.0012800315084679006,0.09795918367346938,0.3597533120146186,33.18867062585655,-32.828917313841934,27.89624389422268
