year,state,industry,startup_count,nsva,india_internet_penetration,india_population,state_total_startups,sector_share,sector_share_pct,startup_growth_pct,india_internet_growth_pp,india_total_startups,industry_share_national
2017,Andhra Pradesh,AI,2.0,645027.0,18.20000076,1359657400.0,103.0,0.019417475728155338,1.9417475728155338,2475.0,1.7000007600000018,5473.0,0.014069066325598392
2017,Andhra Pradesh,AR VR (Augmented + Virtual Reality),1.0,645027.0,18.20000076,1359657400.0,103.0,0.009708737864077669,0.9708737864077669,2475.0,1.7000007600000018,5473.0,0.0073086058834277365
2017,Andhra Pradesh,Advertising,3.0,645027.0,18.20000076,1359657400.0,103.0,0.02912621359223301,2.912621359223301,2475.0,1.7000007600000018,5473.0,0.009866617942627444
2017,Andhra Pradesh,Agriculture,1.0,645027.0,18.20000076,1359657400.0,103.0,0.009708737864077669,0.9708737864077669,2475.0,1.7000007600000018,5473.0,0.03234058103416773
2017,Andhra Pradesh,Analytics,1.0,645027.0,18.20000076,1359657400.0,103.0,0.009708737864077669,0.9708737864077669,2475.0,1.7000007600000018,5473.0,0.011511054266398684
2017,Andhra Pradesh,Automotive,2.0,645027.0,18.20000076,1359657400.0,103.0,0.019417475728155338,1.9417475728155338,2475.0,1.7000007600000018,5473.0,0.01553078750228394
2017,Andhra Pradesh,Chemicals,1.0,645027.0,18.20000076,1359657400.0,103.0,0.009708737864077669,0.9708737864077669,2475.0,1.7000007600000018,5473.0,0.0038370180887995617
2017,Andhra Pradesh,Construction,4.0,645027.0,18.20000076,1359657400.0,103.0,0.038834951456310676,3.8834951456310676,2475.0,1.7000007600000018,5473.0,0.015348072355198247
2017,Andhra Pradesh,Design,2.0,645027.0,18.20000076,1359657400.0,103.0,0.019417475728155338,1.9417475728155338,2475.0,1.7000007600000018,5473.0,0.00968390279554175
2017,Andhra Pradesh,Education,7.0,645027.0,18.20000076,1359657400.0,103.0,0.06796116504854369,6.796116504854369,2475.0,1.7000007600000018,5473.0,0.05792070162616481
2017,Andhra Pradesh,Enterprise Software,1.0,645027.0,18.20000076,1359657400.0,103.0,0.009708737864077669,0.9708737864077669,2475.0,1.7000007600000018,5473.0,0.027224556915768316
2017,Andhra Pradesh,Finance Technology,2.0,645027.0,18.20000076,1359657400.0,103.0,0.019417475728155338,1.9417475728155338,2475.0,1.7000007600000018,5473.0,0.029417138680796637
2017,Andhra Pradesh,Food & Beverages,3.0,645027.0,18.20000076,1359657400.0,103.0,0.02912621359223301,2.912621359223301,2475.0,1.7000007600000018,5473.0,0.03288872647542481
2017,Andhra Pradesh,Green Technology,5.0,645027.0,18.20000076,1359657400.0,103.0,0.04854368932038835,4.854368932038835,2475.0,1.7000007600000018,5473.0,0.02430111456239722
2017,Andhra Pradesh,Healthcare & Lifesciences,9.0,645027.0,18.20000076,1359657400.0,103.0,0.08737864077669903,8.737864077669903,2475.0,1.7000007600000018,5473.0,0.09464644619038919
2017,Andhra Pradesh,House-Hold Services,1.0,645027.0,18.20000076,1359657400.0,103.0,0.009708737864077669,0.9708737864077669,2475.0,1.7000007600000018,5473.0,0.007125890736342043
2017,Andhra Pradesh,IT Services,18.0,645027.0,18.20000076,1359657400.0,103.0,0.17475728155339806,17.475728155339805,2475.0,1.7000007600000018,5473.0,0.11255253060478713
2017,Andhra Pradesh,Indic Language Startups,1.0,645027.0,18.20000076,1359657400.0,103.0,0.009708737864077669,0.9708737864077669,2475.0,1.7000007600000018,5473.0,0.010962908825141605
2017,Andhra Pradesh,Marketing,2.0,645027.0,18.20000076,1359657400.0,103.0,0.019417475728155338,1.9417475728155338,2475.0,1.7000007600000018,5473.0,0.013155490590169926
2017,Andhra Pradesh,Media & Entertainment,1.0,645027.0,18.20000076,1359657400.0,103.0,0.009708737864077669,0.9708737864077669,2475.0,1.7000007600000018,5473.0,0.017540654120226568
2017,Andhra Pradesh,Non- Renewable Energy,1.0,645027.0,18.20000076,1359657400.0,103.0,0.009708737864077669,0.9708737864077669,2475.0,1.7000007600000018,5473.0,0.002192581765028321
2017,Andhra Pradesh,Others,14.0,645027.0,18.20000076,1359657400.0,103.0,0.13592233009708737,13.592233009708737,2475.0,1.7000007600000018,5473.0,0.16243376575918145
2017,Andhra Pradesh,Professional & Commercial Services,1.0,645027.0,18.20000076,1359657400.0,103.0,0.009708737864077669,0.9708737864077669,2475.0,1.7000007600000018,5473.0,0.034533162799196056
