Year,State,NSVA
2021-22   ,HIMACHAL PRADESH,"1,32,233"
2020-21   ,HIMACHAL PRADESH,"1,19,166"
2019-20   ,HIMACHAL PRADESH,"1,26,570"
2018-19   ,HIMACHAL PRADESH,"1,17,858"
2017-18   ,HIMACHAL PRADESH,"1,07,752"
2016-17   ,HIMACHAL PRADESH,"1,00,220"
2015-16   ,HIMACHAL PRADESH,"89,868"
2014-15   ,HIMACHAL PRADESH,"80,905"
2013-14   ,HIMACHAL PRADESH,"74,722"
2012-13   ,HIMACHAL PRADESH,"65,521"
2011-12   ,HIMACHAL PRADESH,"57,219"
2025-26   ,JAMMU AND KASHMIR,"2,06,673"
2024-25   ,JAMMU AND KASHMIR,"1,90,072"
2023-24   ,JAMMU AND KASHMIR,"1,71,280"
2022-23   ,JAMMU AND KASHMIR,"1,54,264"
2021-22   ,JAMMU AND KASHMIR,"1,39,726"
2020-21   ,JAMMU AND KASHMIR,"1,22,709"
2019-20   ,JAMMU AND KASHMIR,"1,24,831"
2018-19   ,JAMMU AND KASHMIR,"1,22,427"
2017-18   ,JAMMU AND KASHMIR,"1,06,922"
2016-17   ,JAMMU AND KASHMIR,"97,927"
2015-16   ,JAMMU AND KASHMIR,"91,855"
2014-15   ,JAMMU AND KASHMIR,"75,789"
2013-14   ,JAMMU AND KASHMIR,"74,695"
2012-13   ,JAMMU AND KASHMIR,"68,948"
2011-12   ,JAMMU AND KASHMIR,"61,824"
2025-26   ,JHARKHAND,-
2024-25   ,JHARKHAND,"4,25,044"
2023-24   ,JHARKHAND,"3,83,283"
2022-23   ,JHARKHAND,"3,42,559"
2021-22   ,JHARKHAND,"3,15,429"
2020-21   ,JHARKHAND,"2,46,134"
2019-20   ,JHARKHAND,"2,55,815"
2018-19   ,JHARKHAND,"2,53,546"
2017-18   ,JHARKHAND,"2,19,878"
2016-17   ,JHARKHAND,"1,92,412"
2015-16   ,JHARKHAND,"1,67,741"
2014-15   ,JHARKHAND,"1,82,628"
2013-14   ,JHARKHAND,"1,55,996"
